Well;XCOOR;YCOOR;EOR_Region;RF_Region;Facility;Status
X-6732;3678.595665;1101.132003;7;orta;F3;URT
X-6755;4835.340249;1260.222336;9;orta;F4;URT
X-676;4382.327968;1318.130557;7;orta;F4;INJ
X-6772;6097.21125;1226.983623;11;dogu;F5;URT
X-6826;2059.977477;1435.769117;5;bati;F1;DIN
X-6867;6535.630648;1437.133862;11;dogu;F5;INJ
X-6879;2150.379122;1289.643042;4;bati;F1;DIN
X-6906;4669.118409;1240.5655;9;orta;F4;TNT
X-6933;3469.071273;1344.253333;7;orta;F3;URT
X-696;3326.976545;1377.449833;7;orta;F3;URT
X-6999;6073.553295;1326.708368;11;dogu;F5;URT
X-703;2044.51855;827.2629275;4;bati;F2;INJSHI
X-7033;6340.748546;1243.438432;11;dogu;F5;INJ
X-7046;2749.128738;1124.094965;5;bati;F2;URT
X-7070;3681.751964;1227.709028;7;orta;F3;URT
X-7103;6318.315545;1424.9905;11;dogu;F5;URT
X-7106;2446.658878;1217.975487;5;bati;F2;DDK
X-7111;5211.458868;1322.00758;9;dogu;F4;URT
X-7127;5644.806954;1304.585565;9;dogu;F4;URT
X-7129;2578.872305;1186.51668;5;bati;F2;URT
X-7140;4771.430696;1134.221947;8;orta;F4;URT
X-7146;1211.749535;952.6985667;2;bati;F1;DIN
X-7147;2827.811651;821.4699333;4;bati;F2;INJ
X-715;2637.294471;922.5840133;4;bati;F2;DIN
X-7205;1060.647309;1189.389612;1;bati;F1;OLUR
X-7221;2862.649359;1132.205567;5;bati;F2;URT
X-7229;6160.218829;1335.208312;11;dogu;F5;URT
X-7249;4109.795997;1082.37803;6;orta;F3;DIN
X-7263;1745.388734;1021.329257;4;bati;F1;URT
X-727;6821.506457;1302.200335;11;dogu;F5;DIN
X-7292;2319.112528;698.7953413;4;bati;F2;DIN
X-7398;6149.271818;1464.3345;11;dogu;F5;URT
X-7399;2348.282779;1111.164723;4;bati;F2;DIN
X-7401;4038.687386;1178.885583;7;orta;F3;INJ
X-7454;4256.284228;1493.531027;7;orta;F3;URT
X-7468;4387.844346;894.51043;8;orta;F4;DIN
X-7474;3139.868822;1324.745267;5;bati;F2;URT
X-7531;2658.15953;1413.367627;5;bati;F2;TERK
X-7534;3392.581028;727.4377733;6;orta;F3;URT
X-7571;4491.014101;1155.348855;7;orta;F4;INJ
X-7578;5058.139474;1253.40148;9;dogu;F4;INJSHI
X-7587;1733.09019;691.9175183;3;bati;F1;DIN
X-7619;3368.375926;1308.663407;7;orta;F3;URT
X-7665;2431.330614;1009.963759;4;bati;F2;DDK
X-7720;4515.157955;1324.569038;7;orta;F3;URT
X-7725;2745.862192;915.6291417;4;bati;F2;DIN
X-7785;5558.945807;1420.576595;9;dogu;F4;INJ
X-7837;1262.944469;1048.427437;2;bati;F1;URT
X-7839;4968.12573;939.3093117;8;dogu;F4;DIN
X-7847;1832.201262;818.8756883;4;bati;F1;INJSHI
X-7860;4167.295364;1471.301667;7;orta;F3;URT
X-787;3949.939429;1306.573257;7;orta;F3;URT
X-7879;4436.997689;1411.236493;7;orta;F3;URT
X-7894;6738.466788;1196.32809;11;dogu;F5;URT
X-790;2881.75865;1242.663847;5;bati;F2;URT
X-7930;3908.829955;1426.629833;7;orta;F3;URT
X-7983;1368.478386;1376.445742;2;bati;F1;URT
X-7997;4532.740136;1222.532833;7;orta;F4;OLUR
X-8000;1402.270799;725.3476233;2;bati;F1;DIN
X-8003;4090.682623;1409.711913;7;orta;F3;URT
X-8029;4509.559913;820.7117417;8;orta;F4;DIN
X-8073;3466.213045;1105.730333;7;orta;F3;DIN
X-8088;3252.707551;1021.243192;7;bati;F3;INJ
X-8112;3185.343218;1118.434757;7;bati;F2;DIN
X-8154;2044.5308;1024.9112;4;bati;F2;INJSHI
X-8160;2246.836126;1026.685778;4;bati;F2;DIN
X-8217;5762.888489;1472.715592;9;dogu;F4;URT
X-8237;4583.608415;1128.463788;8;orta;F4;DIN
X-8272;3471.214943;1013.214557;6;orta;F3;DIN
X-8280;1754.408482;1136.287507;5;bati;F1;URT
X-8284;5433.967778;1231.557363;9;dogu;F4;URT
X-8287;1560.175606;1047.46023;2;bati;F1;OLUR
X-8290;1144.091213;1475.49836;1;bati;F1;URT
X-8294;6947.725773;1427.86753;11;dogu;;TERK
X-8326;6533.601307;1230.487698;11;dogu;F5;URT
X-8421;1238.159555;1371.117908;2;bati;F1;URT
X-8468;2648.47014;1042.54223;4;bati;F2;INJSHI
X-8471;5430.007091;918.497975;8;dogu;F4;INJSHI
X-8478;3724.927529;1245.90153;7;orta;F3;DDK
X-8488;1120.866075;1412.556157;1;bati;F1;URT
X-8545;6848.259464;1058.730647;10;dogu;F5;URT
X-8556;3098.212201;985.4114633;7;bati;F2;URT
X-8560;3959.775814;1058.64868;6;orta;F3;DIN
X-8564;5080.294818;1084.419;9;dogu;F4;OLUR
X-860;2458.892091;1316.384667;5;bati;F2;TERK
X-8647;2149.533904;933.78066;4;bati;F2;DIN
X-8665;4686.300438;1444.363322;9;orta;F4;URT
