Well;Date_;Daily_Water_Injection_bbl;Monthly_Water_Injection_bbl;Pwh_psi;Pan_psi;Liquid_level_in_anulus_m;Work_Days;Notes
X-5802;1969-06-01;853.0;25619;0.0;0.0;;30;
X-1602;1969-06-01;690.0;20709;0.0;0.0;;30;
X-8953;1969-05-01;209.0;6483;680.0;0.0;;31;
X-3081;1969-05-01;255.0;7926;720.0;0.0;;31;
X-9199;1969-05-01;1253.0;38843;450.0;0.0;;31;
X-3947;1969-05-01;204.0;6347;0.0;0.0;;31;
X-2556;1969-05-01;241.0;7491;0.0;0.0;;31;
X-6566;1969-05-01;222.0;6891;0.0;0.0;;31;
X-1602;1969-05-01;1463.0;45353;0.0;0.0;;31;
X-8953;1969-04-01;237.0;7121;680.0;0.0;;30;
X-3081;1969-04-01;289.0;8694;720.0;0.0;;30;
X-9199;1969-04-01;1199.0;35992;450.0;0.0;;30;
X-3947;1969-04-01;227.0;6818;0.0;0.0;;30;
X-6566;1969-04-01;227.0;6818;0.0;0.0;;30;
X-1602;1969-04-01;1561.0;46840;0.0;0.0;;30;
X-8953;1969-03-01;190.0;5909;680.0;0.0;;31;
X-3081;1969-03-01;232.0;7202;700.0;0.0;;31;
X-9199;1969-03-01;947.0;29361;100.0;0.0;;31;
X-3947;1969-03-01;202.0;6278;0.0;0.0;;31;
X-6566;1969-03-01;202.0;6278;0.0;0.0;;31;
X-5802;1969-03-01;872.0;27053;0.0;0.0;;31;
X-1602;1969-03-01;887.0;27514;0.0;0.0;;31;
X-8953;1969-02-01;251.0;7289;260.0;0.0;;29;
X-3081;1969-02-01;306.0;8897;400.0;0.0;;29;
X-9199;1969-02-01;1286.0;37303;100.0;0.0;;29;
X-3947;1969-02-01;277.0;8039;0.0;0.0;;29;
X-6566;1969-02-01;277.0;8039;0.0;0.0;;29;
X-5802;1969-02-01;1057.0;30657;0.0;0.0;;29;
X-8953;1969-01-01;350.0;10851;100.0;0.0;;31;
X-3081;1969-01-01;430.0;13332;120.0;0.0;;31;
X-3947;1969-01-01;520.0;16122;0.0;0.0;;31;
X-6566;1969-01-01;520.0;16122;0.0;0.0;;31;
X-5802;1969-01-01;1275.0;39530;0.0;0.0;;31;
X-8953;1968-12-01;315.0;9785;100.0;0.0;;31;
X-3081;1968-12-01;382.0;11860;120.0;0.0;;31;
X-3947;1968-12-01;506.0;15715;0.0;0.0;;31;
X-6566;1968-12-01;506.0;15715;150.0;0.0;;31;
X-5802;1968-12-01;1128.0;34987;0.0;0.0;;31;
X-8953;1968-11-01;457.0;13717;100.0;0.0;;30;
